       mw          cp           t         gam
   2.0197E+01  2.6254E+01  3.5141E+00  3.1019E+03
   2.0193E+01  2.5991E+01  3.7701E+00  3.3068E+03
   2.0197E+01  2.6263E+01  3.4896E+00  3.1057E+03
   2.0194E+01  2.6001E+01  3.7471E+00  3.3113E+03
   2.0198E+01  2.6271E+01  3.4666E+00  3.1093E+03
   2.0194E+01  2.5599E+01  5.4621E+00  3.0291E+03
   2.0198E+01  2.5931E+01  5.2190E+00  2.8809E+03
   2.0194E+01  2.5746E+01  5.0266E+00  3.0972E+03
   2.0198E+01  2.6069E+01  4.7948E+00  2.9388E+03
   2.0195E+01  2.5832E+01  4.7910E+00  3.1368E+03
   2.0198E+01  2.6149E+01  4.5645E+00  2.9721E+03
   2.0195E+01  2.5892E+01  4.6318E+00  3.1648E+03
   2.0198E+01  2.6205E+01  4.4085E+00  2.9956E+03
   2.0195E+01  2.5939E+01  4.5129E+00  3.1864E+03
   2.0198E+01  2.6248E+01  4.2917E+00  3.0135E+03
   2.0196E+01  2.5977E+01  4.4184E+00  3.2040E+03
   2.0199E+01  2.6283E+01  4.1988E+00  3.0281E+03
   2.0196E+01  2.6009E+01  4.3405E+00  3.2188E+03
   2.0199E+01  2.6313E+01  4.1221E+00  3.0403E+03
   2.0196E+01  2.6037E+01  4.2744E+00  3.2316E+03
   2.0199E+01  2.6338E+01  4.0568E+00  3.0508E+03
   2.0196E+01  2.6061E+01  4.2171E+00  3.2428E+03
   2.0199E+01  2.6360E+01  4.0003E+00  3.0600E+03
   2.0197E+01  2.6083E+01  4.1667E+00  3.2528E+03
   2.0199E+01  2.6380E+01  3.9504E+00  3.0682E+03
   2.0910E+01  2.6102E+01  4.1218E+00  3.2618E+03
   2.0940E+01  2.6397E+01  3.9059E+00  3.0756E+03
   2.0922E+01  2.6120E+01  4.0812E+00  3.2700E+03
   2.0944E+01  2.6414E+01  3.8658E+00  3.0823E+03
   2.0927E+01  2.6136E+01  4.0444E+00  3.2775E+03
   2.0946E+01  2.6428E+01  3.8292E+00  3.0884E+03
   2.0931E+01  2.6152E+01  4.0107E+00  3.2845E+03
   2.0947E+01  2.6442E+01  3.7958E+00  3.0940E+03
   2.0933E+01  2.6166E+01  3.9796E+00  3.2909E+03
   2.0948E+01  2.6454E+01  3.7649E+00  3.0992E+03
   2.0935E+01  2.6179E+01  3.9509E+00  3.2969E+03
   2.0949E+01  2.6466E+01  3.7363E+00  3.1041E+03
   2.0936E+01  2.6191E+01  3.9241E+00  3.3026E+03
   2.0949E+01  2.6477E+01  3.7097E+00  3.1087E+03
   2.0938E+01  2.6202E+01  3.8990E+00  3.3079E+03
   2.0949E+01  2.6487E+01  3.6847E+00  3.1129E+03
   2.0939E+01  2.6213E+01  3.8755E+00  3.3129E+03
   2.0950E+01  2.6497E+01  3.6613E+00  3.1169E+03
   2.0940E+01  2.6223E+01  3.8534E+00  3.3176E+03
   2.0950E+01  2.6506E+01  3.6392E+00  3.1207E+03
   2.0940E+01  2.5788E+01  5.4717E+00  3.0282E+03
   2.0950E+01  2.6123E+01  5.2638E+00  2.8812E+03
   2.0941E+01  2.5936E+01  5.0466E+00  3.0965E+03
   2.0951E+01  2.6264E+01  4.8520E+00  2.9395E+03
   2.0942E+01  2.6023E+01  4.8169E+00  3.1363E+03
   2.0951E+01  2.6345E+01  4.6291E+00  2.9733E+03
   2.0942E+01  2.6085E+01  4.6621E+00  3.1645E+03
   2.0951E+01  2.6402E+01  4.4785E+00  2.9970E+03
   2.0943E+01  2.6132E+01  4.5464E+00  3.1862E+03
   2.0951E+01  2.6447E+01  4.3659E+00  3.0153E+03
   2.0943E+01  2.6171E+01  4.4547E+00  3.2039E+03
   2.0951E+01  2.6483E+01  4.2765E+00  3.0301E+03
   2.0944E+01  2.6204E+01  4.3791E+00  3.2189E+03
   2.0952E+01  2.6513E+01  4.2027E+00  3.0426E+03
   2.0944E+01  2.6232E+01  4.3150E+00  3.2317E+03
   2.0952E+01  2.6539E+01  4.1401E+00  3.0533E+03
